,Company,Business,Location
0,Act-On Software,Cloud-based integrated markeDng plaEorm,"Portland, OR"
1,Affirmed Networks,Mobile network soluDons,"Boston, MA"
2,Alien Vault,Threat management plaEorm,"San Mateo, CA"
3,Anaplan,Financial planning and modeling soHware,"San Francisco, CA"
4,App Annie,Business intelligence soluDons,"San Francisco, CA"
5,AppDynamics,ApplicaDon performance management soluDons for,"San Francisco, CA"
6,Automa<c,Content management plaEorm for blogs and websites,"San Francisco, CA"
7,Avalara,Sales tax compliance soluDons,"SeaAle, WA"
8,Avvo,"Legal marketplace, directory, and quesDon-","SeaAle, WA"
9,Big Switch Networks,SDN white box switching,"Santa Clara, CA"
10,Blue Apron,Grocery delivery service company,"New York, NY"
11,Blue Jeans Network,Video conferencing services,"Mountain View, CA"
12,Bonobos,E-commerce driven clothing brand,"New York, NY"
13,Buzzfeed,Social news and entertainment,"New York, NY"
14,Carbon3D,3D manufacturing,"Redwood City, CA"
15,Carbon Black,Endpoint and server security,"Cambridge, MA"
16,Chartboost,PlaIorm for game developers to market their products,"San Francisco, CA"
17,Checkr,Professional background checks,"San Francisco, CA"
18,Clever,PlaIorm for extracJng student data,"San Francisco, CA"
19,CloudBees,Con.nuous deployment so7ware,"San Francisco, CA"
20,Cloudflare,Content delivery network and distributed domain,"San Francisco, CA"
21,Clover Health,Health insurance,"San Francisco, CA"
22,Code42 So4ware,"Management, backup, storage and protec.on of","Minneapolis, MN"
23,Couchbase,NoSQL database,"Mountain View, CA"
24,CrowdStrike,Threat analysis and preven.on,"Irvine, CA"
25,Datadog,Monitoring of cloud services,"New York, NY"
26,DataStax,Distributed database technology build on Cassandra,"Santa Clara, CA"
27,Deem,Commerce-as-a-service,"San Francisco, CA"
28,Delphix,"So7ware to provision, manage, and refresh databases","San Francisco, CA"
29,DigitalOcean,Cloud hos.ng service for developers,"New York, NY"
30,Docker,"Open pla6orm to build, ship, and run distributed","San Francisco, CA"
31,DocuSign,E-signature technology for signing documents online,"San Francisco, CA"
32,Domo,Execu<ve business intelligence pla6orm,"American Fork, UT"
33,DoorDash,Food delivery service,"San Francisco, CA"
34,"Dough, Inc.",,"Chicago, IL"
36,Drawbridge,Anonymous cross-device communica<on pla6orm,"San Mateo, CA"
37,Duo Security,Cloud-based two-factor authen<ca<on,"Ann Arbor, MI"
38,Elas8c,Advanced open source search and analy<cs engine,"Mountain View, CA"
39,Elementum,SoKware to make a supply chains simple,"Mountain View, CA"
40,Elevate,Online credit solu<ons,"Fort Worth, TX"
41,Eventbrite,Online events marketplace,"San Francisco, CA"
42,Everlane,Online vendor of luxury clothing,"San Francisco, CA"
43,ExtraHop,Real-?me opera?onal intelligence,"Sea/le, WA"
44,ForeScout Technologies,SoBware to control and orchestrate IoT (internet of,"San Jose, CA"
45,ForgeRock,Open source iden?ty management solu?ons,"San Francisco, CA"
