Ranking,Country,GDP
1,United States,"18,569,100"
2,China,"11,218,281"
3,Japan,"4,938,644"
4,Germany,"3,466,639"
5,United Kingdom,"2,629,188"
6,France,"2,463,222"
7,India,"2,256,397"
8,Italy,"1,850,735"
9,Brazil,"1,798,622"
10,Canada,"1,529,224"
11,South Korea,"1,411,246"
12,Russia,"1,280,731"
13,Australia,"1,258,978"
14,Spain,"1,232,597"
15,Mexico,"1,046,002"
16,Indonesia,"932,448"
17,Turkey,"857,429"
18,Netherlands,"771,163"
19,Switzerland,"659,850"
20,Saudi Arabia,"639,617"
21,Argentina,"545,124"
22,Taiwan,"528,550"
23,Sweden,"511,397"
24,Poland,"467,591"
25,Belgium,"466,960"
26,Thailand,"406,949"
27,Nigeria,"405,952"
28,Austria,"386,752"
29,Iran,"376,755"
30,United Arab Emirates,"371,353"
31,Norway,"370,449"
32,Egypt,"332,349"
33,Hong Kong,"320,668"
34,Israel,"318,386"
35,Denmark,"306,730"
36,Philippines,"304,696"
37,Singapore,"296,967"
38,Malaysia,"296,359"
39,South Africa,"294,132"
40,Ireland,"293,605"
41,Venezuela,"287,274"
42,Pakistan,"284,185"
43,Colombia,"282,357"
44,Chile,"247,025"
45,Finland,"236,883"
46,Bangladesh,"227,901"
47,Portugal,"204,761"
48,Vietnam,"201,326"
49,Peru,"195,140"
50,Greece,"194,248"
51,Czech Republic,"192,991"
52,Romania,"187,039"
53,New Zealand,"181,991"
54,Iraq,"167,026"
55,Algeria,"160,784"
56,Qatar,"156,734"
57,Kazakhstan,"133,757"
58,Hungary,"125,675"
59,Kuwait,"109,859"
60,Morocco,"103,615"
61,Puerto Rico,"101,304"
62,Ecuador,"98,010"
63,Angola,"95,821"
64,Sudan,"94,421"
65,Ukraine,"93,263"
66,Slovakia,"89,525"
67,Sri Lanka,"82,615"
68,Syria,"77,460"
69,Ethiopia,"72,523"
70,Dominican Republic,"72,194"
71,Kenya,"68,919"
72,Guatemala,"68,175"
73,Uzbekistan,"66,502"
74,Myanmar,"66,324"
75,Oman,"63,171"
76,Luxembourg,"59,468"
77,Costa Rica,"58,109"
78,Panama,"55,122"
79,Uruguay,"54,567"
80,Bulgaria,"52,418"
81,Lebanon,"51,991"
82,Croatia,"50,441"
83,Belarus,"48,847"
84,Tanzania,"47,184"
85,Macau,"44,110"
86,Slovenia,"44,009"
87,Ghana,"43,264"
88,Lithuania,"42,749"
89,Tunisia,"41,869"
90,Democratic Republic of the Congo,"41,615"
91,Jordan,"38,743"
92,Serbia,"37,745"
93,Azerbaijan,"37,556"
94,Turkmenistan,"36,180"
95,Côte d'Ivoire,"35,489"
96,Bolivia,"34,831"
97,Libya,"33,157"
98,Bahrain,"31,907"
99,Cameroon,"29,334"
100,Latvia,"27,684"
101,Paraguay,"27,441"
102,Yemen,"27,318"
103,El Salvador,"26,709"
104,Uganda,"26,195"
105,Estonia,"23,130"
106,Honduras,"21,364"
107,Zambia,"21,310"
108,Nepal,"21,154"
109,Trinidad and Tobago,"20,966"
110,Iceland,"20,047"
111,Papua New Guinea,"20,003"
112,Cyprus,"19,810"
113,Cambodia,"19,398"
114,Afghanistan,"18,886"
115,Bosnia and Herzegovina,"16,605"
116,Botswana,"15,018"
117,Senegal,"14,785"
118,Gabon,"14,273"
119,Georgia,"14,222"
120,Zimbabwe,"14,174"
121,Mali,"13,960"
122,Jamaica,"13,950"
123,Laos,"13,790"
124,Nicaragua,"13,049"
125,Albania,"12,126"
126,Mauritius,"11,950"
127,Burkina Faso,"11,182"
128,Equatorial Guinea,"11,636"
129,Mozambique,"11,283"
130,Brunei,"11,182"
131,Mongolia,"11,031"
132,Malta,"10,953"
133,Macedonia,"10,912"
134,Namibia,"10,646"
135,Armenia,"10,499"
136,Chad,"10,103"
137,Madagascar,"9,740"
138,Bahamas,"8,939"
139,Benin,"8,577"
140,Rwanda,"8,406"
141,Haiti,"8,257"
142,Republic of Congo,"7,955"
143,Niger,"7,479"
144,Tajikistan,"6,922"
145,Moldova,"6,750"
146,Kosovo,"6,707"
147,Kyrgyzstan,"6,551"
148,Guinea,"6,512"
149,Malawi,"5,492"
150,Eritrea,"5,352"
151,Mauritania,"4,714"
152,Fiji,"4,640"
153,Barbados,"4,588"
154,Togo,"4,434"
155,Montenegro,"4,126"
156,Sierra Leone,"3,981"
157,Swaziland,"3,770"
158,Suriname,"3,570"
159,Guyana,"3,437"
160,Maldives,"3,379"
161,Burundi,"3,133"
162,South Sudan,"2,914"
163,Timor-Leste,"2,498"
164,Lesotho,"2,267"
165,Bhutan,"2,115"
166,Liberia,"2,111"
167,Djibouti,"1,894"
168,Central African Republic,"1,780"
169,Belize,"1,743"
170,Cabo Verde,"1,636"
171,San Marino,"1,592"
172,Seychelles,"1,405"
173,Antigua and Barbuda,"1,398"
174,St. Lucia,"1,385"
175,Solomon Islands,"1,184"
176,Guinea-Bissau,"1,155"
177,Grenada,"1,027"
178,The Gambia,965
179,St. Kitts and Nevis,903
180,Samoa,786
181,St. Vincent and the Grenadines,775
182,Vanuatu,773
183,Comoros,620
184,Dominica,520
185,Tonga,403
186,São Tomé and Príncipe,350
187,Federated States of Micronesia,322
188,Palau,293
189,Marshall Islands,183
190,Kiribati,167
191,Tuvalu,34
